type,num_topics,C_v,C_umass,-C_umass
v1,5,0.40978898,-9.119443,9.119443
v1,10,0.3258856,-6.286069,6.286069
v1,15,0.3394858,-7.6877136,7.6877136
v1,20,0.3203301,-7.317896,7.317896
v1,25,0.311365,-8.275279,8.275279
v1,30,0.3572794,-8.98526,8.98526
v1,35,0.3540702,-10.0487,10.0487
v1,40,0.380409,-11.010429,11.010429
v1,45,0.406322,-12,11.796648
v1,50,0.42866,-12.65216727,12.65216727
v2,1,0.2516,-2.0979,2.0979
v2,2,0.32017,-2.62327,2.62327
v2,3,0.3797,-2.999,2.999
v2,4,0.4021,-3.14244,3.14244
v2,5,0.38724,-3.4808,3.4808
v2,6,0.41503,-3.5279,3.5279
v2,7,0.36236,-4.49516,4.49516
v2,8,0.37434,-4.35262,4.35262
v2,9,0.37639,-4.4029,4.4029
v2,10,0.386212,-4.35386,4.35386
v2,11,0.35859,-5.01838,5.01838
v2,12,0.3646,-4.8486,4.8486
v2,13,0.37484,-4.58549,4.58549
v2,14,0.35584,-5.3856,5.3856
v2,15,0.31756,-5.692525,5.692525
v2,16,0.325178,-5.36775,5.36775
v2,17,0.331917,-5.24366,5.24366
v2,18,0.32376,-5.6485,5.6485
v2,19,0.31667,-5.8077,5.8077
v2,20,0.3011,-5.66507,5.66507
v2,21,0.3058,-5.80231,5.80231
v2,22,0.309186,-5.62619,5.62619
v2,23,0.3072478,-5.654637,5.654637
v2,24,0.304937,-5.93084,5.93084
v2,25,0.29964,-5.92549,5.92549